Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Afghanistan,3.512799982070922,0.35711344353485097,0.40975266527557375,0.2547073557691574,0.117923904097557,0.2677301865158082,0.058093566011905684,2017.0
Albania,4.712600010681152,0.9386325506629944,0.7549310495796204,0.7876959493293763,0.3718977269630432,0.16788658885860439,0.04320084319996834,2017.0
Algeria,5.667600043487548,1.012962893333436,1.07420549308014,0.6650569291496276,0.17843716158390038,0.06921932939958572,0.14609922206878662,2017.0
Angola,3.872250019073488,0.7983795450544358,0.9383679899120325,0.13390216640889646,0.027432500000000002,0.10526912250220774,0.07157008382618428,2016.5
Argentina,6.459399995422364,1.111035092521668,1.330960229034424,0.7608954167060852,0.4816198407802582,0.092371412138939,0.0643079775428772,2017.0
Armenia,4.3931999855041495,0.8391333475723265,0.890872744155884,0.6978508851966858,0.2160286534719468,0.08239361836528777,0.03876688430082798,2017.0
Australia,7.276199983978271,1.3948849870224,1.4090063904266361,0.9145293585319519,0.6050434764595032,0.4160778499965668,0.3145727460727692,2017.0
Austria,7.142000008392334,1.398341452667236,1.36396299269104,0.8836796838417055,0.576929237915039,0.29240046434974676,0.21426007308769218,2017.0
Azerbaijan,5.22920004119873,1.0736443531265258,1.03175005104065,0.6196531551818848,0.38054516765022284,0.04913186805534362,0.1757555014209748,2017.0
Bahrain,6.1137999786376955,1.390482452201844,1.24346409224701,0.7252506069412232,0.5190833838310243,0.2031516973667144,0.21075243391418458,2017.0
Bangladesh,4.580199960327148,0.5239965950584412,0.6383363481140136,0.5933542067108154,0.47826733188247683,0.17895907042789458,0.1324475718774796,2017.0
Belarus,5.597999953460694,1.085019511993408,1.3381530432357782,0.6987668533554079,0.3015380523757934,0.120003501821518,0.1635567643346786,2017.0
Belgium,6.92139995880127,1.375398152153016,1.357492539672852,0.8828703738708497,0.5387621444778442,0.20888066752433782,0.23784462621307378,2017.0
Belize,5.955999950408938,0.8637117720158893,0.9563225996653233,0.4599605886745453,0.5509397907447814,0.2199518802849453,0.09776369053840638,2017.0
Benin,3.90100001296997,0.3767450815467834,0.3404699687099456,0.2752620422611236,0.4193865551891326,0.186069692234993,0.07136780305576325,2017.0
Bhutan,5.124800031280517,0.8235072777023316,1.201687302886962,0.5397078584976196,0.49846753612518324,0.4346989090328216,0.1654860779619216,2017.0
Bolivia,5.813199990844725,0.7672613132095336,1.095163810386658,0.5393060499000549,0.5518965853691101,0.18518014494705198,0.06878754523229598,2017.0
Bosnia and Herzegovina,5.161800032043457,0.9216938835258484,0.9844331875,0.7613312614860533,0.17679263538074502,0.2709674990119934,0.0016539999999999999,2017.0
Botswana,3.830000006484986,1.053580830871582,1.107410998916626,0.3384071018753052,0.4906072665863038,0.07904168964338301,0.10460263981676102,2017.0
Brazil,6.6578000457763675,1.033226642089844,1.323311200904846,0.6809444705810546,0.4430387493591308,0.13496997892856602,0.1203925522317886,2017.0
Bulgaria,4.618600045013428,1.0865358176651,1.2987878916854858,0.7359535360908508,0.2954583435173034,0.1010635388760566,0.007784306189954281,2017.0
Burkina Faso,4.07380001296997,0.31465954271698,0.9357400010910041,0.2668128517332078,0.3239995702037812,0.2127729369163514,0.1229956211972236,2017.0
Burundi,3.078999994277954,0.062446513733387,0.4708167168693542,0.21160815833663937,0.10132015064001085,0.18592103691959377,0.10699158900928499,2017.0
Cambodia,4.205400044250488,0.5482370192375183,0.876219668266296,0.5119726807746888,0.6378711646995544,0.3361805936775208,0.06969919019031524,2017.0
Cameroon,4.695800034332276,0.5191550730171205,0.8520216437988282,0.20137842338085182,0.43716774972915645,0.20785569135761262,0.05008532628321648,2017.0
Canada,7.350599996948242,1.388128883255004,1.3874117982788081,0.90055753049469,0.6109541824188233,0.3895979444885254,0.3058463032455444,2017.0
Central African Republic,3.1342500195503225,0.032125,0.0,0.05019067147508262,0.3224080113863945,0.24305662187337876,0.053113769028186805,2017.25
Chad,4.003400021743774,0.3820165974750518,0.8038511744308472,0.09489494301605225,0.177684405365944,0.1931287700948716,0.058758376453638086,2017.0
Chile,6.5893999900817875,1.173326921958924,1.202872990768432,0.8449759407806396,0.39682105573844895,0.2720484842453002,0.08849759642124176,2017.0
China,5.218999952697755,1.003417158111572,1.033679482376098,0.7971211001281737,0.5095755416088104,0.04944936820018292,0.056210854922652244,2017.0
Colombia,6.339999974822998,0.9929104649887079,1.30261058733368,0.6716775847167968,0.49209948301506046,0.13745689459228522,0.04497174837040902,2017.0
Comoros,3.9616666666666664,0.26271666666666665,0.7176533333333334,0.38931999999999994,0.17509666666666668,0.21070333333333335,0.15379,2016.6666666666667
Congo (Brazzaville),4.377399977874756,0.7227428504943848,0.7165868726043703,0.346717486787796,0.42301317416000356,0.11230042553424839,0.0928016267209053,2017.0
